,WHO Region,WHO Country Name,Measurement Year,PM2.5 (μg/m3),PM10 (μg/m3),NO2 (μg/m3)
211,European Region,France,2018,6492.779642593746,7068.937701786221,6350.950862014241
212,European Region,France,2019,6310.25353450013,6899.627701786224,6118.748695869041
213,European Region,Georgia,2014,51.96522161872192,82.99,41.23566770960867
214,European Region,Georgia,2015,24.5,47.5,20.617833854804335
215,European Region,Georgia,2017,20.0,39.0,20.617833854804335
216,European Region,Germany,2010,6446.138312881411,6927.951577036968,7656.575341676873
217,European Region,Germany,2013,5740.705556226137,6823.498007450555,7769.619053190046
218,European Region,Germany,2014,6371.463880506968,7103.852004967044,8319.078338548044
219,European Region,Germany,2015,6180.072994032076,6866.556308147864,8208.076172402849
220,European Region,Germany,2016,6114.2529940320765,6566.090611328682,8161.131840112457
221,European Region,Germany,2017,6091.78688593847,6567.350611328684,7849.16617240285
222,European Region,Germany,2018,6227.356885938468,7030.283520871137,8013.286172402844
223,European Region,Germany,2019,6003.037329175908,6631.97358200401,7521.32967396726
224,European Region,Greece,2010,359.3383242808287,567.7429095424587,401.43566770960865
225,European Region,Greece,2013,423.39398913699443,603.7115159040977,385.81350156441306
226,European Region,Greece,2014,413.37398913699445,556.3915159040977,398.26350156441305
227,European Region,Greece,2015,405.13354589955065,564.8843643136879,434.4078338548043
228,European Region,Greece,2016,394.94265942466296,602.7857579520489,487.9935015644129
229,European Region,Greece,2017,292.4265513310535,432.7271515904098,416.20566770960863
230,European Region,Greece,2018,362.4522161872192,544.8843031808196,465.52483698363034
231,European Region,Greece,2019,375.06699456849725,562.0143031808195,439.8048369836304
232,European Region,Hungary,2010,431.0483242808287,565.75,398.2278338548044
233,European Region,Hungary,2011,22.96522161872192,30.397151590409777,7.16
234,European Region,Hungary,2013,418.51354589955065,498.24000000000007,368.8778338548043
235,European Region,Hungary,2014,361.95788104338493,440.3443031808197,321.7478338548043
236,European Region,Hungary,2015,436.33921075571635,505.97715159040973,376.62566770960865
237,European Region,Hungary,2016,423.50398913699445,456.57000000000005,361.14566770960874
238,European Region,Hungary,2017,420.10876751827254,522.2643031808195,386.81350156441306
239,European Region,Hungary,2018,410.0178810433849,490.12999999999994,359.0578338548043
240,European Region,Hungary,2019,356.2474378059411,429.1071515904098,325.71566770960857
241,European Region,Iceland,2010,38.43522161872192,62.85,21.69
242,European Region,Iceland,2013,68.89566485616575,34.989999999999995,42.315667709608675
243,European Region,Iceland,2014,22.92,66.82430318081956,26.587833854804334
244,European Region,Iceland,2015,25.72,38.09,45.81
245,European Region,Iceland,2016,26.78,35.63,32.86
246,European Region,Iceland,2017,82.33044323744384,112.33715159040976,70.33000000000001
247,European Region,Iceland,2018,48.96522161872192,65.91,54.05
248,European Region,Iceland,2019,88.83566485616578,97.67715159040978,68.25999999999999
249,European Region,Ireland,2010,160.71132971233155,163.30430318081955,146.69566770960867
250,European Region,Ireland,2013,238.1017729497754,284.1757579520489,216.54700312882602
251,European Region,Ireland,2014,183.46655133105347,178.58430318081957,139.0191692740217
252,European Region,Ireland,2015,172.92132971233153,214.6386063616391,143.03916927402167
253,European Region,Ireland,2016,236.9217729497754,242.44145477122936,234.28916927402167
254,European Region,Ireland,2017,189.12132971233154,250.46575795204888,215.47916927402167
255,European Region,Ireland,2018,223.72655133105346,287.84575795204887,246.81700312882603
256,European Region,Ireland,2019,322.33699456849735,361.1614547712293,408.0161724028479
257,European Region,Israel,2012,747.4183242808288,1460.112970675327,701.0063510633473
258,European Region,Israel,2013,765.8683242808285,1537.785819084917,701.0063510633473
259,European Region,Israel,2014,720.9383242808286,1295.9129706753265,701.0063510633473
260,European Region,Israel,2015,774.9831026621066,1617.9558190849173,680.388517208543
